AANL,Ancient Anatolian Languages 
AASR,Anthro/Sociology of Religion 
ACMW,Associated COLs of the Midwest 
ADEN,Administrative Enrollment 
AFAM,African/African-Amer Studies 
AKKD,Akkadian 
ALGH,At Lutheran General Hospital 
AMER,American Culture 
ANCC,Anesthesia/Critical Care 
ANCM,Ancient Mediterranean World 
ANST,Ancient Studies 
ANSY,Anesthesiology 
ANTH,Anthropology 
ANTM,Anatomy 
ARAB,Arabic 
ARAM,Aramaic 
ARME,Armenian 
ARTD,Art/Design 
ARTH,Art History 
ARTV,Visual Arts 
ASHM,Arts/Sci Basic to Hum Bio/Med 
ASLG,American Sign Language 
ASTR,Astronomy/Astrophysics 
AUAL,Austro-Asiatic Linguistics 
BALT,Balto Slavic Linguistics 
BANG,Bangla 
BAPR,BA Project 
BASQ,Basque 
BBIO,Business of Biotechnology 
BBLE,Bible 
BCHM,Biological Chemistry 
BCHY,Biochemistry 
BCMB,Biochemistry/Molecular Biology 
BCSN,Bosnian/Croatian/Serbian 
BEHV,Behavioral Sciences 
BENF,Benton Fellow 
BIBL,Biblical Studies 
BIOS,Biological Sciences (College) 
BIOY,Biology 
BLIN,Balkan Linguistics 
BPHS,Biophysical Sciences 
BPRO,Big Problems 
BPSY,Biopsychology 
BPTB,Biophysics/Theoretical Biology 
BRIT,British Studies 
BSDG,Biological Sciences (Graduate) 
BSSR,BSCD Summer Research 
BULG,Bulgarian 
BUSE,Business - Evening MBA 
BUSF,Business - Full-Time MBA/PhD 
BUSH,Business - Exec MBA Hong Kong 
BUSL,Business - Exec MBA London 
BUSN,Business 
BUSS,Business - Exec MBA Singapore 
BUSV,Business - Summer Scholars 
BUSW,Business - Weekend MBA 
BUSX,Business - Exec MBA Chicago 
CAAM,Computational and Applied Math 
CABI,Cancer Biology 
CAPP,Comp Analysis/Public Pol 
CATA,Catalan 
CCTE,Chicago Center for Teaching 
CCTS,Clinical/Translational Science 
CDIN,Disciplinary Innovation 
CFSC,Conceptual Foundations of Sci 
CHDV,Comparative Human Development 
CHEM,Chemistry 
CHIN,Chinese 
CHRM,Committee on the Ministry 
CHSS,Conceptual/Hist Studies of Sci 
CICN,CIC Courses 
CLAR,Classical Archeology 
CLAS,Classics 
CLCV,Classical Civilization 
CLIN,Clinical Courses 
CLNT,Clinical Nutrition 
CMES,Middle Eastern Studies 
CMLT,Comparative Literature 
CMSC,Computer Science 
CMST,Cinema/Media Studies 
COGC,Cognition/Communication 
COVA,Visual Arts 
CPHY,Cell Physiology 
CPNS,Computational Neuroscience 
CPPE,test 
CRES,Comp Race/Ethnic Studies 
CRPC,Comparative Race Studies 
CRSH,CIC CourseShare 
CRWR,Creative Writing 
CSLT,Comp Studies in Literature 
CSPP,Computer Science Professional 
CTMI,Clinical Trials Management 
CZEC,Czech 
DANS,Danish 
DIGS,Digital Humanities 
DISH,Disciplines of Humanities 
DOVA,Visual Arts Department 
DUTC,Dutch 
DVBI,Developmental Biology 
DVPR,Philosophy of Religions 
DVPS,Developmental Psychology 
DVSC,Special Courses in Divinity 
DVSR,Psych/Sociology of Religion 
EALC,East Asian Languages/Civ 
ECEV,Ecology/Evolution 
ECON,Economics 
EDUC,Education 
EEUR,East European 
EGPT,Egyptian 
EGYP,Egyptology 
ELAM,Elamite 
EMED,Emergency Medicine 
ENGL,English Language/Literature 
ENSC,Environmental Sciences 
ENST,Environmental Studies 
ESLG,English as a Second Language 
ETHS,Ethics/Society 
EVOL,Evolutionary Biology 
EXAM,Language Reading Exam 
EXCH,Exchange Scholar Courses 
FELC,Far Eastern Languages/Civ 
FINM,Financial Mathematics 
FMED,Family Medicine 
FNDL,Fundamentals: Issues/Texts 
FREN,French 
FRGN,College Study Abroad 
FTCT,Full Time Certification 
GEEZ,Ge'ez 
GEGY,Geography 
GENE,Genetics 
GEOG,Geographical Sciences 
GEOR,Georgian 
GEOS,Geophysical Sciences 
GLST,Global Studies 
GNDR,Gender Studies 
GNSE,Gender/Sexuality Studies 
GREK,Greek 
GRMN,German 
GSBC,Business - Campus MBA 
GSBD,Business - Evening MBA 
GSBE,Business - Exec MBA Chicago 
GSBI,Business - IMBA 
GSBL,Business - Exec MBA London 
GSBP,Business - PHD 
GSBS,Business - Exec MBA Singapore 
GSBV,Business - Summer Scholars 
GSBW,Business - Weekend MBA 
GSBX,Business - Exec MBA Barcelona 
GSHU,Humanities General Studies 
HASS,Humanities/Arts/Sciences 
HCHR,History of Christianity 
HCUL,History of Culture 
HDCP,Human Development Clinical 
HEBR,Hebrew 
HGEN,Human Genetics 
HIJD,History of Judaism 
HIND,Hindi 
HIPS,HIPS 
HISL,History of Islam 
HIST,History 
HITT,Hittite Cuneiform 
HMAT,Humanities Div MAT Courses 
HMRT,Human Rights 
HNUT,Hum Nutrition/Nutritional Bio 
HREL,History of Religions 
HSRP,Hughes Summer Research 
HSTD,Health Studies 
HUDV,Human Development 
HUMA,Humanities 
HUMG,Humanities-Graduate 
IDMT,Analysis of Ideas/Methods 
IMET,Ideas/Methods 
IMMU,Immunology 
INDO,Indo-European 
INRE,International Relations 
INST,International Studies 
IPEI,International Political Econ 
ISHU,Humanities Interdisc Studies 
ISLM,Islamic Studies 
ISTP,Interdisc Scientist Training 
ITAL,Italian 
JAPN,Japanese 
JWSC,Jewish Studies 
JWSG,Committee on Jewish Studies 
KAZK,Kazak 
KNOW,KNOW 
KORE,Korean 
LACS,Latin Amer/Caribbean Studies 
LATN,Latin 
LAWS,Laws 
LGLN,Languages in Linguistics 
LIBH,Library Science 
LIBS,Library Science 
LING,Linguistics 
LITH,Lithuanian 
LLSO,Law/Letters/Society 
LSSA,Law School Study Away 
LTAM,Latin American Studies 
MACD,Macedonian 
MACS,Computational Social Science 
MAEX,Masters Exam 
MALA,Malayaman 
MAPH,MAPH (MA in Humanities) 
MAPJ,Humanities MA Japan 
MAPS,MAPSS (MA in Social Sciences) 
MARA,Marathi 
MATH,Mathematics 
MATS,Mathematical Sciences 
MBIO,Medical Biology 
MDJS,Medieval Jewish Studies 
MDST,Medieval Studies 
MDVS,MDIV Special Courses 
MEDC,Medicine 
MENG,Molecular Engineering 
METH,Methodology 
MGCB,Molecular Genetics/Cell Bio 
MICR,Microbiology 
MLAP,Master of Liberal Arts 
MOGK,Modern Greek 
MOLM,Molecular Medicine 
